receipt_id,customer_id,receipt_date,amount,payment_method,reference,check_number,invoice_id_applied,amount_applied,bank_deposit_id,status,notes
RCP-00020,CUST-009,2026-03-08,215766.06,Wire,REF-6045519,CHK-28920,INV-00025,215766.06,DEP-0008,Applied,
RCP-00021,CUST-009,2026-03-03,20151.04,EFT,REF-7987842,,INV-00026,20151.04,DEP-0019,Applied,
RCP-00022,CUST-010,2026-03-09,129934.44,Check,REF-4411424,,INV-00027,129934.44,DEP-0020,Applied,
RCP-00023,CUST-010,2026-03-30,399381.75,Check,REF-2551288,,INV-00028,399381.75,DEP-0021,Applied,
RCP-00024,CUST-010,2026-03-08,14934.24,Check,REF-7327828,CHK-89026,INV-00029,14934.24,DEP-0008,Applied,
RCP-00025,CUST-011,2026-02-02,403775.65,Wire,REF-4640933,,INV-00030,403775.65,DEP-0013,Applied,
RCP-00026,CUST-011,2026-02-27,293811.01,Wire,REF-1257256,,INV-00031,293811.01,DEP-0022,Applied,SCENARIO: Short pay; underpaid by 12800.21
RCP-00027,CUST-011,2026-02-08,40136.72,ACH,REF-9034958,CHK-89220,INV-00032,40136.72,DEP-0002,Applied,
RCP-00028,CUST-011,2026-02-16,335652.84,Wire,REF-6395804,CHK-59894,INV-00033,335652.84,DEP-0023,Applied,
RCP-00029,CUST-011,2026-02-17,255414.45,Check,REF-5388275,,INV-00034,255414.45,DEP-0024,Applied,
RCP-00030,CUST-011,2026-02-28,24141.47,ACH,REF-8876742,CHK-51973,INV-00035,24141.47,DEP-0018,Applied,
RCP-00031,CUST-011,2026-02-14,13201.78,Check,REF-7944595,,INV-00036,13201.78,DEP-0012,Applied,
RCP-00032,CUST-011,2026-02-09,4191.73,ACH,REF-5375063,,INV-00037,4191.73,DEP-0025,Applied,
RCP-00033,CUST-012,2026-03-12,1030154.8,Check,REF-3557039,,INV-00038,1030154.8,DEP-0026,Applied,
RCP-00034,CUST-012,2026-03-19,25129.48,Wire,REF-9376888,,INV-00039,25129.48,DEP-0027,Applied,
RCP-00035,CUST-012,2026-03-02,108708.84,Wire,REF-9197701,CHK-94108,,0.0,DEP-0028,Unapplied,SCENARIO: Cash received; not applied to invoice
RCP-00036,CUST-012,2026-03-01,30685.47,Wire,REF-6908535,,INV-00042,30685.47,DEP-0029,Applied,
RCP-00037,CUST-013,2026-02-16,156527.12,Wire,REF-1985360,,INV-00043,156527.12,DEP-0023,Applied,
RCP-00038,CUST-013,2026-03-04,798454.45,ACH,REF-1107102,,INV-00044,798454.45,DEP-0030,Applied,
RCP-00039,CUST-013,2026-02-28,22653.19,ACH,REF-3533857,,INV-00045,22653.19,DEP-0018,Applied,
RCP-00040,CUST-013,2026-02-12,133725.41,ACH,REF-9106820,CHK-12061,INV-00046,133725.41,DEP-0031,Applied,
RCP-00041,CUST-013,2026-02-27,114543.74,EFT,REF-1198826,,INV-00047,114543.74,DEP-0022,Applied,
RCP-00042,CUST-013,2026-03-01,9212.85,Check,REF-1287605,,INV-00048,9212.85,DEP-0029,Applied,
RCP-00043,CUST-013,2026-03-04,1714.42,Wire,REF-2795437,CHK-78732,INV-00049,1714.42,DEP-0030,Applied,
RCP-00044,CUST-013,2026-02-10,7982.1,Check,REF-6946534,,INV-00050,7982.1,DEP-0032,Applied,
RCP-00045,CUST-014,2026-03-20,150303.95,EFT,REF-8700704,,INV-00051,150303.95,DEP-0033,Applied,
RCP-00046,CUST-016,2026-03-08,39691.57,ACH,REF-2568678,,INV-00053,39691.57,DEP-0008,Applied,
RCP-00047,CUST-017,2026-03-10,48751.73,ACH,REF-1158547,CHK-20837,INV-00054,48751.73,DEP-0017,Applied,
RCP-00048,CUST-018,2026-03-09,5855.76,Check,REF-2599906,CHK-15577,INV-00055,5855.76,DEP-0020,Applied,
RCP-00049,CUST-019,2026-03-05,151038.26,EFT,REF-5548220,,INV-00056,151038.26,DEP-0004,Applied,
RCP-00050,CUST-020,2026-02-26,27716.22,ACH,REF-4009069,CHK-51220,INV-00057,27716.22,DEP-0007,Applied,
RCP-00051,CUST-021,2026-03-03,175460.28,Wire,REF-7682298,CHK-49226,INV-00058,175460.28,DEP-0019,Applied,
RCP-00052,CUST-021,2026-02-18,46936.27,EFT,REF-6565503,,INV-00059,46936.27,DEP-0034,Applied,
RCP-00053,CUST-021,2026-02-09,18103.06,Check,REF-1900876,,INV-00060,18103.06,DEP-0025,Applied,
RCP-00054,CUST-022,2026-03-31,150754.1,Wire,REF-4894730,,INV-00061,150754.1,DEP-0005,Applied,"SCENARIO: Timing diff – receipt posted 3/31, bank deposit 4/1"
RCP-00055,CUST-022,2026-02-26,35842.88,EFT,REF-6475691,,INV-00062,35842.88,DEP-0007,Applied,
RCP-00056,CUST-022,2026-03-27,140706.58,EFT,REF-4827527,,INV-00063,140706.58,DEP-0015,Applied,
RCP-00057,CUST-023,2026-03-07,604711.76,EFT,REF-2437708,CHK-48715,INV-00065,604711.76,DEP-0035,Applied,
RCP-00058,CUST-023,2026-03-04,34007.11,ACH,REF-5495824,,INV-00066,34007.11,DEP-0030,Applied,
RCP-00059,CUST-023,2026-03-01,52844.06,EFT,REF-6312979,,INV-00067,52844.06,DEP-0029,Applied,
RCP-00060,CUST-024,2026-02-15,461199.24,EFT,REF-7038413,CHK-23399,INV-00068,461199.24,DEP-0036,Applied,
RCP-00061,CUST-025,2026-02-07,173434.69,EFT,REF-8530347,,INV-00069,173434.69,DEP-0037,Applied,
RCP-00062,CUST-025,2026-02-12,47517.3,ACH,REF-2503554,,INV-00070,47517.3,DEP-0031,Applied,
RCP-00063,CUST-026,2026-03-03,236801.51,EFT,REF-1207041,,INV-00071,236801.51,DEP-0019,Applied,
RCP-00064,CUST-026,2026-02-26,40468.94,Wire,REF-9742683,,INV-00072,40468.94,DEP-0007,Applied,
RCP-00065,CUST-027,2026-03-09,91679.96,Check,REF-6052144,,INV-00073,91679.96,DEP-0020,Applied,
RCP-00066,CUST-027,2026-03-08,189260.64,EFT,REF-5629871,,INV-00074,189260.64,DEP-0008,Applied,
RCP-00067,CUST-027,2026-03-09,25310.03,Check,REF-5222820,CHK-91924,INV-00075,25310.03,DEP-0020,Applied,
RCP-00068,CUST-027,2026-03-01,20295.78,Check,REF-4280754,,,0.0,DEP-0029,Unapplied,SCENARIO: Cash received; not applied to invoice
RCP-00069,CUST-027,2026-03-06,10313.86,EFT,REF-6573679,CHK-59792,INV-00077,10313.86,DEP-0038,Applied,
RCP-00070,CUST-027,2026-03-09,4318.35,EFT,REF-6615941,,INV-00078,4318.35,DEP-0020,Applied,
RCP-00071,CUST-028,2026-03-03,3594.13,Check,REF-6379868,CHK-36326,INV-00079,3594.13,DEP-0019,Applied,
RCP-00072,CUST-029,2026-03-09,110555.76,EFT,REF-6354241,,INV-00080,110555.76,DEP-0020,Applied,
RCP-00073,CUST-030,2026-02-27,65298.73,ACH,REF-6467463,,INV-00081,65298.73,DEP-0022,Applied,SCENARIO: Short pay; underpaid by 3980.35
RCP-00074,CUST-031,2026-03-16,69156.29,Check,REF-2910720,CHK-36188,INV-00082,69156.29,DEP-0039,Applied,
RCP-00075,CUST-032,2026-03-30,28852.28,Wire,REF-1451577,CHK-70505,INV-00083,28852.28,DEP-0021,Applied,
RCP-00076,CUST-034,2026-03-18,23364.84,ACH,REF-7864256,CHK-28242,INV-00085,23364.84,DEP-0016,Applied,
RCP-00077,CUST-035,2026-03-08,82548.51,Check,REF-3586094,CHK-59412,INV-00086,82548.51,DEP-0008,Applied,
RCP-00078,CUST-036,2026-02-15,259125.54,EFT,REF-9965197,,INV-00087,259125.54,DEP-0036,Applied,
RCP-00079,CUST-037,2026-03-17,63358.1,ACH,REF-7031903,CHK-80373,INV-00089,63358.1,DEP-0040,Applied,
RCP-00080,CUST-037,2026-02-14,26556.67,ACH,REF-5164624,CHK-56531,INV-00090,26556.67,DEP-0012,Applied,
RCP-00081,CUST-037,2026-02-20,853.49,EFT,REF-6563269,CHK-66420,INV-00091,853.49,DEP-0041,Applied,
RCP-00082,CUST-038,2026-03-03,20261.71,Check,REF-4724560,,INV-00092,20261.71,DEP-0019,Applied,
RCP-00083,CUST-039,2026-02-28,68609.89,Wire,REF-8478923,,INV-00093,68609.89,DEP-0018,Applied,
RCP-00084,CUST-039,2026-02-20,69340.89,Wire,REF-6787592,CHK-73277,INV-00094,69340.89,DEP-0041,Applied,
RCP-00085,CUST-040,2026-03-09,116082.06,ACH,REF-2947320,CHK-28569,INV-00095,116082.06,DEP-0020,Applied,
RCP-00086,CUST-042,2026-02-15,56201.98,EFT,REF-4470657,,INV-00097,56201.98,DEP-0036,Applied,
RCP-00087,CUST-043,2026-02-21,41082.49,EFT,REF-8590804,,INV-00098,41082.49,DEP-0042,Applied,
RCP-00088,CUST-044,2026-03-27,195836.07,ACH,REF-6755892,CHK-98754,INV-00099,195836.07,DEP-0015,Applied,
RCP-00089,CUST-045,2026-04-02,173880.1,Wire,REF-6553084,,INV-00103,173880.1,DEP-0043,Applied,
RCP-00090,CUST-045,2026-04-06,3147.75,Wire,REF-4127053,CHK-66640,INV-00105,3147.75,DEP-0044,Applied,
RCP-00091,CUST-046,2026-03-22,55274.73,EFT,REF-8206700,,INV-00106,55274.73,DEP-0010,Applied,
RCP-00092,CUST-048,2026-03-02,88657.62,ACH,REF-4136665,,INV-00108,88657.62,DEP-0028,Applied,
RCP-00093,CUST-048,2026-02-05,173963.39,Check,REF-9212178,,INV-00109,173963.39,DEP-0045,Applied,
RCP-00094,CUST-049,2026-02-27,246050.07,EFT,REF-2916496,,INV-00110,246050.07,DEP-0022,Applied,
RCP-00095,CUST-050,2026-03-31,93748.94,Wire,REF-8681625,,INV-00111,93748.94,DEP-0005,Applied,"SCENARIO: Timing diff – receipt posted 3/31, bank deposit 4/1"
RCP-00096,CUST-051,2026-03-03,106131.37,ACH,REF-3247270,,INV-00112,106131.37,DEP-0019,Applied,
RCP-00097,CUST-052,2026-02-06,93297.57,Wire,REF-7263036,CHK-76954,INV-00113,93297.57,DEP-0046,Applied,
RCP-00098,CUST-053,2026-03-15,59873.88,EFT,REF-8097413,,INV-00114,59873.88,DEP-0047,Applied,
RCP-00099,CUST-054,2026-03-03,37014.34,Wire,REF-9214830,,INV-00115,37014.34,DEP-0019,Applied,
RCP-00100,CUST-055,2026-02-15,19685.78,ACH,REF-7023677,CHK-73518,INV-00116,19685.78,DEP-0036,Applied,
RCP-00101,CUST-056,2026-02-27,40728.46,EFT,REF-7864135,CHK-64477,INV-00117,40728.46,DEP-0022,Applied,
RCP-00102,CUST-057,2026-02-22,13011.67,EFT,REF-3806047,,INV-00118,13011.67,DEP-0009,Applied,
RCP-00103,CUST-058,2026-02-28,4072.6,Check,REF-1548532,,INV-00119,4072.6,DEP-0018,Applied,
RCP-00104,CUST-059,2026-02-23,7465.12,EFT,REF-9309978,,INV-00120,7465.12,DEP-0011,Applied,
RCP-00105,CUST-060,2026-02-10,24624.87,Wire,REF-7154919,,INV-00121,24624.87,DEP-0032,Applied,SCENARIO: Short pay; underpaid by 3037.65
RCP-00106,CUST-001,2026-03-05,250117.77,EFT,REF-4666525,CHK-23423,INV-00122,250117.77,DEP-0004,Applied,
RCP-00107,CUST-002,2026-03-28,262447.08,EFT,REF-5409307,,INV-00125,262447.08,DEP-0048,Applied,
RCP-00108,CUST-002,2026-03-25,141135.47,Wire,REF-4521171,CHK-87060,INV-00127,141135.47,DEP-0049,Applied,
RCP-00109,CUST-003,2026-03-09,852079.52,ACH,REF-3335975,CHK-37124,,0.0,DEP-0020,Unapplied,SCENARIO: Cash received; not applied to invoice
RCP-00110,CUST-004,2026-04-09,2639.53,Wire,REF-6430006,CHK-48356,INV-00134,2639.53,DEP-0050,Applied,
RCP-00111,CUST-004,2026-04-07,473.4,ACH,REF-3274804,CHK-63948,INV-00135,473.4,DEP-0051,Applied,
RCP-00112,CUST-005,2026-03-21,9730.15,Wire,REF-3453557,CHK-42447,INV-00139,9730.15,DEP-0052,Applied,
RCP-00113,CUST-006,2026-03-20,571095.5,EFT,REF-3385244,,INV-00140,571095.5,DEP-0033,Applied,
RCP-00114,CUST-006,2026-04-09,46165.12,EFT,REF-8583162,,INV-00141,46165.12,DEP-0050,Applied,
RCP-00115,CUST-008,2026-03-15,316334.55,Check,REF-8628527,CHK-52898,INV-00144,316334.55,DEP-0047,Applied,
RCP-00116,CUST-008,2026-03-30,70917.75,EFT,REF-7009980,CHK-80048,INV-00145,70917.75,DEP-0021,Applied,
RCP-00117,CUST-009,2026-04-03,138449.25,Wire,REF-9299939,,INV-00146,138449.25,DEP-0053,Applied,
RCP-00118,CUST-009,2026-04-09,8939.2,Wire,REF-9142618,CHK-99463,INV-00148,8939.2,DEP-0050,Applied,
RCP-00119,CUST-010,2026-04-05,516620.31,ACH,REF-3084353,CHK-30707,INV-00150,516620.31,DEP-0054,Applied,
RCP-00120,CUST-011,2026-03-30,1044792.45,EFT,REF-4394336,CHK-27290,INV-00151,1044792.45,DEP-0021,Applied,
RCP-00121,CUST-011,2026-03-16,213305.51,Wire,REF-5597283,,INV-00152,213305.51,DEP-0039,Applied,
RCP-00122,CUST-011,2026-03-27,52225.32,Check,REF-3777050,,INV-00153,52225.32,DEP-0015,Applied,
RCP-00123,CUST-011,2026-03-20,65222.4,EFT,REF-2530068,CHK-10142,INV-00154,65222.4,DEP-0033,Applied,
RCP-00124,CUST-011,2026-03-26,7580.18,Wire,REF-4794852,,INV-00155,7580.18,DEP-0006,Applied,
RCP-00125,CUST-012,2026-03-25,168217.03,Check,REF-3023227,CHK-65353,INV-00156,168217.03,DEP-0049,Applied,
RCP-00126,CUST-012,2026-03-29,106337.61,ACH,REF-4841091,,INV-00157,106337.61,DEP-0055,Applied,
RCP-00127,CUST-012,2026-04-01,366608.85,Check,REF-6020671,,INV-00159,366608.85,DEP-0014,Applied,
RCP-00128,CUST-012,2026-03-15,18275.17,Wire,REF-2147756,,INV-00160,18275.17,DEP-0047,Applied,
RCP-00129,CUST-013,2026-03-31,1215326.54,Wire,REF-1142182,,INV-00161,1215326.54,DEP-0005,Applied,"SCENARIO: Timing diff – receipt posted 3/31, bank deposit 4/1"
RCP-00130,CUST-013,2026-03-17,20575.62,EFT,REF-6891952,CHK-92323,INV-00162,20575.62,DEP-0040,Applied,
RCP-00131,CUST-015,2026-04-09,21425.43,Wire,REF-2454383,CHK-28351,INV-00165,21425.43,DEP-0050,Applied,
RCP-00132,CUST-015,2026-04-01,75727.17,EFT,REF-6897789,CHK-51222,INV-00166,75727.17,DEP-0014,Applied,
RCP-00133,CUST-016,2026-03-22,92062.65,Wire,REF-5780177,CHK-13515,INV-00168,92062.65,DEP-0010,Applied,
RCP-00134,CUST-018,2026-03-21,59375.99,Wire,REF-9686388,CHK-34726,INV-00170,59375.99,DEP-0052,Applied,
RCP-00135,CUST-020,2026-03-07,11593.38,Wire,REF-9302838,,INV-00172,11593.38,DEP-0035,Applied,
RCP-00136,CUST-020,2026-03-17,135948.08,ACH,REF-7058222,CHK-27299,INV-00173,135948.08,DEP-0040,Applied,
RCP-00137,CUST-021,2026-04-07,201790.57,EFT,REF-7130603,,INV-00174,201790.57,DEP-0051,Applied,
RCP-00138,CUST-021,2026-04-01,23294.72,ACH,REF-1280001,,INV-00175,23294.72,DEP-0014,Applied,
RCP-00139,CUST-022,2026-03-27,201646.31,ACH,REF-2014499,CHK-62163,INV-00176,201646.31,DEP-0015,Applied,
RCP-00140,CUST-022,2026-04-09,72086.84,EFT,REF-8106413,CHK-20803,INV-00178,72086.84,DEP-0050,Applied,
RCP-00141,CUST-022,2026-04-09,10898.15,Wire,REF-5655136,,INV-00179,10898.15,DEP-0050,Applied,
RCP-00142,CUST-023,2026-03-30,412940.46,Wire,REF-9999133,,INV-00180,412940.46,DEP-0021,Applied,
RCP-00143,CUST-023,2026-03-11,30385.86,Check,REF-8339797,CHK-41278,INV-00181,30385.86,DEP-0003,Applied,
RCP-00144,CUST-024,2026-03-05,484770.36,EFT,REF-2945931,,INV-00182,484770.36,DEP-0004,Applied,
RCP-00145,CUST-024,2026-03-14,63718.04,Wire,REF-3003921,,INV-00183,63718.04,DEP-0056,Applied,
RCP-00146,CUST-025,2026-03-07,139954.93,Wire,REF-9328426,CHK-78551,INV-00184,139954.93,DEP-0035,Applied,
RCP-00147,CUST-025,2026-03-28,54476.89,Wire,REF-7238933,,INV-00185,54476.89,DEP-0048,Applied,
RCP-00148,CUST-025,2026-03-22,20524.92,ACH,REF-1492516,,INV-00186,20524.92,DEP-0010,Applied,
RCP-00149,CUST-026,2026-04-09,24223.93,ACH,REF-5411563,CHK-85582,INV-00187,24223.93,DEP-0050,Applied,
RCP-00150,CUST-026,2026-04-09,257267.89,EFT,REF-9569497,,INV-00188,257267.89,DEP-0050,Applied,
RCP-00151,CUST-026,2026-03-30,37379.37,Wire,REF-5280137,CHK-85223,INV-00190,37379.37,DEP-0021,Applied,
RCP-00152,CUST-027,2026-03-23,320977.96,Wire,REF-9536665,,INV-00191,320977.96,DEP-0057,Applied,
RCP-00153,CUST-029,2026-04-07,76007.16,EFT,REF-7106512,,INV-00193,76007.16,DEP-0051,Applied,
RCP-00154,CUST-030,2026-03-10,92357.95,EFT,REF-4766741,,INV-00194,92357.95,DEP-0017,Applied,
RCP-00155,CUST-033,2026-03-28,30311.83,Check,REF-3003215,,INV-00197,30311.83,DEP-0048,Applied,
RCP-00156,CUST-035,2026-04-06,63577.29,ACH,REF-7726402,,INV-00199,63577.29,DEP-0044,Applied,
RCP-00157,CUST-036,2026-03-23,99730.14,Check,REF-6491198,,INV-00200,99730.14,DEP-0057,Applied,
RCP-00158,CUST-036,2026-04-03,86507.85,ACH,REF-5892153,,INV-00201,86507.85,DEP-0053,Applied,SCENARIO: Short pay; underpaid by 7409.4
RCP-00159,CUST-036,2026-04-02,9996.36,Wire,REF-8783398,,INV-00202,9996.36,DEP-0043,Applied,
RCP-00160,CUST-039,2026-03-24,95271.02,Wire,REF-3526084,,INV-00206,95271.02,DEP-0058,Applied,
RCP-00161,CUST-040,2026-03-25,200843.86,Check,REF-1160974,CHK-10191,INV-00207,200843.86,DEP-0049,Applied,
RCP-00162,CUST-042,2026-03-13,112332.26,ACH,REF-4442590,,INV-00209,112332.26,DEP-0059,Applied,
RCP-00163,CUST-043,2026-04-09,43180.58,ACH,REF-3388630,CHK-22193,INV-00210,43180.58,DEP-0050,Applied,
RCP-00164,CUST-044,2026-04-09,312985.02,EFT,REF-7249378,,INV-00211,312985.02,DEP-0050,Applied,
RCP-00165,CUST-047,2026-04-09,64659.99,Wire,REF-5893511,,INV-00218,64659.99,DEP-0050,Applied,
RCP-00166,CUST-048,2026-03-19,79715.17,Check,REF-6336123,,INV-00219,79715.17,DEP-0027,Applied,
RCP-00167,CUST-048,2026-03-27,178813.94,Wire,REF-2828260,,INV-00220,178813.94,DEP-0015,Applied,
RCP-00168,CUST-048,2026-04-06,13392.74,Check,REF-7820148,,INV-00221,13392.74,DEP-0044,Applied,
RCP-00169,CUST-049,2026-03-27,133736.35,EFT,REF-6172545,,INV-00222,133736.35,DEP-0015,Applied,
RCP-00170,CUST-049,2026-03-06,41632.86,Wire,REF-6103880,CHK-89076,INV-00223,41632.86,DEP-0038,Applied,
RCP-00171,CUST-049,2026-04-09,13795.17,Wire,REF-2530298,CHK-56627,INV-00224,13795.17,DEP-0050,Applied,
RCP-00172,CUST-050,2026-03-29,17373.36,Check,REF-5364874,CHK-32789,INV-00225,17373.36,DEP-0055,Applied,
RCP-00173,CUST-051,2026-03-29,56971.53,EFT,REF-5191831,,INV-00226,56971.53,DEP-0055,Applied,
RCP-00174,CUST-052,2026-03-29,40030.56,ACH,REF-1200603,,INV-00227,40030.56,DEP-0055,Applied,
RCP-00175,CUST-054,2026-04-09,93271.07,EFT,REF-7245146,CHK-94500,INV-00229,93271.07,DEP-0050,Applied,
RCP-00176,CUST-055,2026-04-09,42725.62,Check,REF-2258076,,INV-00230,42725.62,DEP-0050,Applied,
RCP-00177,CUST-056,2026-04-09,24842.11,Wire,REF-2543145,CHK-53456,INV-00231,24842.11,DEP-0050,Applied,
RCP-00178,CUST-057,2026-04-06,25577.37,ACH,REF-3818391,CHK-66774,INV-00232,25577.37,DEP-0044,Applied,
RCP-00179,CUST-058,2026-03-17,39709.54,EFT,REF-1494630,,INV-00233,39709.54,DEP-0040,Applied,
RCP-00180,CUST-059,2026-04-08,14791.3,Wire,REF-4139874,,INV-00234,14791.3,DEP-0060,Applied,
RCP-00181,CUST-060,2026-04-01,3506.21,ACH,REF-5123584,CHK-75390,INV-00235,3506.21,DEP-0014,Applied,
RCP-00182,CUST-001,2026-04-09,17988.7,EFT,REF-3302438,,INV-00238,17988.7,DEP-0050,Applied,
RCP-00183,CUST-002,2026-04-09,161763.57,ACH,REF-7417252,CHK-57069,INV-00241,161763.57,DEP-0050,Applied,
RCP-00184,CUST-003,2026-04-08,35774.21,Wire,REF-1437264,,INV-00246,35774.21,DEP-0060,Applied,
RCP-00185,CUST-004,2026-04-09,266303.97,ACH,REF-8913550,,INV-00247,266303.97,DEP-0050,Applied,
RCP-00186,CUST-005,2026-04-09,311338.61,Check,REF-9953825,CHK-17328,INV-00251,311338.61,DEP-0050,Applied,
RCP-00187,CUST-007,2026-04-09,58263.7,Check,REF-7019382,CHK-13697,INV-00259,58263.7,DEP-0050,Applied,
RCP-00188,CUST-009,2026-04-09,225852.0,EFT,REF-6185050,,INV-00263,225852.0,DEP-0050,Applied,
RCP-00189,CUST-009,2026-04-09,99024.98,Wire,REF-4671004,,INV-00264,99024.98,DEP-0050,Applied,
RCP-00190,CUST-010,2026-04-09,8632.65,ACH,REF-1367637,,INV-00270,8632.65,DEP-0050,Applied,
RCP-00191,CUST-011,2026-04-09,1126354.42,Check,REF-2216878,,INV-00272,1126354.42,DEP-0050,Applied,
RCP-00192,CUST-011,2026-04-09,37818.37,Check,REF-3289279,CHK-67261,INV-00275,37818.37,DEP-0050,Applied,
RCP-00193,CUST-012,2026-04-09,17265.31,Check,REF-4745298,CHK-32983,INV-00279,17265.31,DEP-0050,Applied,
RCP-00194,CUST-013,2026-04-09,52805.25,ACH,REF-7569981,CHK-84381,INV-00282,52805.25,DEP-0050,Applied,
RCP-00195,CUST-014,2026-04-09,70192.03,Wire,REF-2746679,CHK-28434,INV-00283,70192.03,DEP-0050,Applied,
RCP-00196,CUST-016,2026-04-09,24712.76,Check,REF-3816683,CHK-21629,INV-00285,24712.76,DEP-0050,Applied,
RCP-00197,CUST-020,2026-04-09,22539.21,Wire,REF-2137407,,INV-00290,22539.21,DEP-0050,Applied,
RCP-00198,CUST-021,2026-04-09,83142.38,EFT,REF-3790695,CHK-74629,INV-00293,83142.38,DEP-0050,Applied,
RCP-00199,CUST-024,2026-04-09,147135.27,ACH,REF-1560573,,INV-00301,147135.27,DEP-0050,Applied,
RCP-00200,CUST-026,2026-04-09,316432.6,EFT,REF-3699529,CHK-81702,INV-00304,316432.6,DEP-0050,Applied,
RCP-00201,CUST-036,2026-04-09,32870.01,Wire,REF-4187406,,INV-00315,32870.01,DEP-0050,Applied,
RCP-00202,CUST-040,2026-04-09,189173.75,ACH,REF-7591805,,INV-00320,189173.75,DEP-0050,Applied,
RCP-00203,CUST-042,2026-04-09,52974.31,ACH,REF-8174037,,INV-00322,52974.31,DEP-0050,Applied,
RCP-00204,CUST-046,2026-04-09,22566.15,Wire,REF-5895783,CHK-72071,INV-00326,22566.15,DEP-0050,Applied,
RCP-00205,CUST-050,2026-04-09,209884.5,EFT,REF-4101792,,INV-00332,209884.5,DEP-0050,Applied,
RCP-00206,CUST-052,2026-04-09,48560.83,Check,REF-8377620,,INV-00334,48560.83,DEP-0050,Applied,
RCP-00207,CUST-052,2026-04-09,54893.82,ACH,REF-3535551,CHK-97486,INV-00335,54893.82,DEP-0050,Applied,
RCP-00208,CUST-053,2026-04-09,57918.44,EFT,REF-4817030,,INV-00336,57918.44,DEP-0050,Applied,
