entry_id,entry_date,period,account_code,account_name,entry_type,debit,credit,description,source_doc,customer_id,posted_by,notes
GL-000021,2026-01-06,2026-01,1200,Accounts Receivable,Invoice,355854.22,0,Invoice INV-00012 – CUST-003,INV-00012,CUST-003,mlopez,
GL-000022,2026-01-06,2026-01,4000,Revenue – Product Sales,Invoice,0,355854.22,Revenue recognition INV-00012,INV-00012,CUST-003,kchan,
GL-000023,2026-01-22,2026-01,1200,Accounts Receivable,Invoice,1028845.06,0,Invoice INV-00013 – CUST-004,INV-00013,CUST-004,arogers,
GL-000024,2026-01-22,2026-01,4000,Revenue – Product Sales,Invoice,0,1028845.06,Revenue recognition INV-00013,INV-00013,CUST-004,mlopez,
GL-000025,2026-01-13,2026-01,1200,Accounts Receivable,Invoice,8499.34,0,Invoice INV-00014 – CUST-004,INV-00014,CUST-004,tbrown,
GL-000026,2026-01-13,2026-01,4000,Revenue – Product Sales,Invoice,0,8499.34,Revenue recognition INV-00014,INV-00014,CUST-004,tbrown,
GL-000027,2026-01-21,2026-01,1200,Accounts Receivable,Invoice,499121.43,0,Invoice INV-00015 – CUST-005,INV-00015,CUST-005,arogers,
GL-000028,2026-01-21,2026-01,4000,Revenue – Product Sales,Invoice,0,499121.43,Revenue recognition INV-00015,INV-00015,CUST-005,tbrown,
GL-000029,2026-01-18,2026-01,1200,Accounts Receivable,Invoice,112513.85,0,Invoice INV-00016 – CUST-006,INV-00016,CUST-006,jsmith,
GL-000030,2026-01-18,2026-01,4000,Revenue – Product Sales,Invoice,0,112513.85,Revenue recognition INV-00016,INV-00016,CUST-006,jsmith,
GL-000031,2026-01-13,2026-01,1200,Accounts Receivable,Invoice,382314.95,0,Invoice INV-00017 – CUST-006,INV-00017,CUST-006,tbrown,
GL-000032,2026-01-13,2026-01,4000,Revenue – Product Sales,Invoice,0,382314.95,Revenue recognition INV-00017,INV-00017,CUST-006,mlopez,
GL-000033,2026-01-02,2026-01,1200,Accounts Receivable,Invoice,92272.74,0,Invoice INV-00018 – CUST-006,INV-00018,CUST-006,tbrown,
GL-000034,2026-01-02,2026-01,4000,Revenue – Product Sales,Invoice,0,92272.74,Revenue recognition INV-00018,INV-00018,CUST-006,tbrown,
GL-000035,2026-01-13,2026-01,1200,Accounts Receivable,Invoice,323123.5,0,Invoice INV-00019 – CUST-007,INV-00019,CUST-007,tbrown,
GL-000036,2026-01-13,2026-01,4000,Revenue – Product Sales,Invoice,0,323123.5,Revenue recognition INV-00019,INV-00019,CUST-007,mlopez,
GL-000037,2026-01-28,2026-01,1200,Accounts Receivable,Invoice,85707.72,0,Invoice INV-00020 – CUST-007,INV-00020,CUST-007,mlopez,
GL-000038,2026-01-28,2026-01,4000,Revenue – Product Sales,Invoice,0,85707.72,Revenue recognition INV-00020,INV-00020,CUST-007,jsmith,
GL-000039,2026-01-25,2026-01,1200,Accounts Receivable,Invoice,78315.8,0,Invoice INV-00021 – CUST-007,INV-00021,CUST-007,arogers,
GL-000040,2026-01-25,2026-01,4000,Revenue – Product Sales,Invoice,0,78315.8,Revenue recognition INV-00021,INV-00021,CUST-007,jsmith,
GL-000041,2026-01-29,2026-01,1200,Accounts Receivable,Invoice,3551.98,0,Invoice INV-00022 – CUST-008,INV-00022,CUST-008,mlopez,
GL-000042,2026-01-29,2026-01,4000,Revenue – Product Sales,Invoice,0,3551.98,Revenue recognition INV-00022,INV-00022,CUST-008,mlopez,
GL-000043,2026-01-28,2026-01,1200,Accounts Receivable,Invoice,351984.97,0,Invoice INV-00023 – CUST-008,INV-00023,CUST-008,mlopez,
GL-000044,2026-01-28,2026-01,4000,Revenue – Product Sales,Invoice,0,351984.97,Revenue recognition INV-00023,INV-00023,CUST-008,mlopez,
GL-000045,2026-01-28,2026-01,1200,Accounts Receivable,Invoice - DUPLICATE,351984.97,0,DUPLICATE POSTING INV-00023,INV-00023,CUST-008,mlopez,SCENARIO: Duplicate GL posting
GL-000046,2026-01-28,2026-01,4000,Revenue – Product Sales,Invoice - DUPLICATE,0,351984.97,DUPLICATE Revenue INV-00023,INV-00023,CUST-008,mlopez,SCENARIO: Duplicate GL posting
GL-000047,2026-01-25,2026-01,1200,Accounts Receivable,Invoice,81597.51,0,Invoice INV-00024 – CUST-009,INV-00024,CUST-009,kchan,
GL-000048,2026-01-25,2026-01,4000,Revenue – Product Sales,Invoice,0,81597.51,Revenue recognition INV-00024,INV-00024,CUST-009,kchan,
GL-000049,2026-01-30,2026-01,1200,Accounts Receivable,Invoice,215766.06,0,Invoice INV-00025 – CUST-009,INV-00025,CUST-009,tbrown,
GL-000050,2026-01-30,2026-01,4000,Revenue – Product Sales,Invoice,0,215766.06,Revenue recognition INV-00025,INV-00025,CUST-009,kchan,
GL-000051,2026-01-31,2026-01,1200,Accounts Receivable,Invoice,20151.04,0,Invoice INV-00026 – CUST-009,INV-00026,CUST-009,jsmith,
GL-000052,2026-01-31,2026-01,4000,Revenue – Product Sales,Invoice,0,20151.04,Revenue recognition INV-00026,INV-00026,CUST-009,tbrown,
GL-000053,2026-01-16,2026-01,1200,Accounts Receivable,Invoice,129934.44,0,Invoice INV-00027 – CUST-010,INV-00027,CUST-010,arogers,
GL-000054,2026-01-16,2026-01,4000,Revenue – Product Sales,Invoice,0,129934.44,Revenue recognition INV-00027,INV-00027,CUST-010,mlopez,
GL-000055,2026-01-30,2026-01,1200,Accounts Receivable,Invoice,399381.75,0,Invoice INV-00028 – CUST-010,INV-00028,CUST-010,kchan,
GL-000056,2026-01-30,2026-01,4000,Revenue – Product Sales,Invoice,0,399381.75,Revenue recognition INV-00028,INV-00028,CUST-010,jsmith,
GL-000057,2026-01-21,2026-01,1200,Accounts Receivable,Invoice,14934.24,0,Invoice INV-00029 – CUST-010,INV-00029,CUST-010,arogers,
GL-000058,2026-01-21,2026-01,4000,Revenue – Product Sales,Invoice,0,14934.24,Revenue recognition INV-00029,INV-00029,CUST-010,mlopez,
GL-000059,2026-01-01,2026-01,1200,Accounts Receivable,Invoice,403775.65,0,Invoice INV-00030 – CUST-011,INV-00030,CUST-011,mlopez,
GL-000060,2026-01-01,2026-01,4000,Revenue – Product Sales,Invoice,0,403775.65,Revenue recognition INV-00030,INV-00030,CUST-011,arogers,
GL-000061,2026-01-23,2026-01,1200,Accounts Receivable,Invoice,306611.22,0,Invoice INV-00031 – CUST-011,INV-00031,CUST-011,arogers,
GL-000062,2026-01-23,2026-01,4000,Revenue – Product Sales,Invoice,0,306611.22,Revenue recognition INV-00031,INV-00031,CUST-011,arogers,
GL-000063,2026-01-03,2026-01,1200,Accounts Receivable,Invoice,40136.72,0,Invoice INV-00032 – CUST-011,INV-00032,CUST-011,jsmith,
GL-000064,2026-01-03,2026-01,4000,Revenue – Product Sales,Invoice,0,40136.72,Revenue recognition INV-00032,INV-00032,CUST-011,tbrown,
GL-000065,2026-01-05,2026-01,1200,Accounts Receivable,Invoice,335652.84,0,Invoice INV-00033 – CUST-011,INV-00033,CUST-011,tbrown,
GL-000066,2026-01-05,2026-01,4000,Revenue – Product Sales,Invoice,0,335652.84,Revenue recognition INV-00033,INV-00033,CUST-011,kchan,
GL-000067,2026-01-07,2026-01,1200,Accounts Receivable,Invoice,255414.45,0,Invoice INV-00034 – CUST-011,INV-00034,CUST-011,mlopez,
GL-000068,2026-01-07,2026-01,4000,Revenue – Product Sales,Invoice,0,255414.45,Revenue recognition INV-00034,INV-00034,CUST-011,kchan,
GL-000069,2026-01-15,2026-01,1200,Accounts Receivable,Invoice,24141.47,0,Invoice INV-00035 – CUST-011,INV-00035,CUST-011,tbrown,
GL-000070,2026-01-15,2026-01,4000,Revenue – Product Sales,Invoice,0,24141.47,Revenue recognition INV-00035,INV-00035,CUST-011,arogers,
GL-000071,2026-01-04,2026-01,1200,Accounts Receivable,Invoice,13201.78,0,Invoice INV-00036 – CUST-011,INV-00036,CUST-011,mlopez,
GL-000072,2026-01-04,2026-01,4000,Revenue – Product Sales,Invoice,0,13201.78,Revenue recognition INV-00036,INV-00036,CUST-011,tbrown,
GL-000073,2026-01-06,2026-01,1200,Accounts Receivable,Invoice,4191.73,0,Invoice INV-00037 – CUST-011,INV-00037,CUST-011,mlopez,
GL-000074,2026-01-06,2026-01,4000,Revenue – Product Sales,Invoice,0,4191.73,Revenue recognition INV-00037,INV-00037,CUST-011,kchan,
GL-000075,2026-01-28,2026-01,1200,Accounts Receivable,Invoice,1030154.8,0,Invoice INV-00038 – CUST-012,INV-00038,CUST-012,tbrown,
GL-000076,2026-01-28,2026-01,4000,Revenue – Product Sales,Invoice,0,1030154.8,Revenue recognition INV-00038,INV-00038,CUST-012,kchan,
GL-000077,2026-01-30,2026-01,1200,Accounts Receivable,Invoice,25129.48,0,Invoice INV-00039 – CUST-012,INV-00039,CUST-012,mlopez,
GL-000078,2026-01-30,2026-01,4000,Revenue – Product Sales,Invoice,0,25129.48,Revenue recognition INV-00039,INV-00039,CUST-012,jsmith,
GL-000079,2026-01-13,2026-01,1200,Accounts Receivable,Invoice,183689.14,0,Invoice INV-00040 – CUST-012,INV-00040,CUST-012,arogers,
GL-000080,2026-01-13,2026-01,4000,Revenue – Product Sales,Invoice,0,183689.14,Revenue recognition INV-00040,INV-00040,CUST-012,kchan,
GL-000081,2026-01-26,2026-01,1200,Accounts Receivable,Invoice,108708.84,0,Invoice INV-00041 – CUST-012,INV-00041,CUST-012,mlopez,
GL-000082,2026-01-26,2026-01,4000,Revenue – Product Sales,Invoice,0,108708.84,Revenue recognition INV-00041,INV-00041,CUST-012,tbrown,
GL-000083,2026-01-16,2026-01,1200,Accounts Receivable,Invoice,30685.47,0,Invoice INV-00042 – CUST-012,INV-00042,CUST-012,kchan,
GL-000084,2026-01-16,2026-01,4000,Revenue – Product Sales,Invoice,0,30685.47,Revenue recognition INV-00042,INV-00042,CUST-012,mlopez,
GL-000085,2026-01-02,2026-01,1200,Accounts Receivable,Invoice,156527.12,0,Invoice INV-00043 – CUST-013,INV-00043,CUST-013,jsmith,
GL-000086,2026-01-02,2026-01,4000,Revenue – Product Sales,Invoice,0,156527.12,Revenue recognition INV-00043,INV-00043,CUST-013,kchan,
GL-000087,2026-01-31,2026-01,1200,Accounts Receivable,Invoice,798454.45,0,Invoice INV-00044 – CUST-013,INV-00044,CUST-013,mlopez,
GL-000088,2026-01-31,2026-01,4000,Revenue – Product Sales,Invoice,0,798454.45,Revenue recognition INV-00044,INV-00044,CUST-013,kchan,
GL-000089,2026-01-22,2026-01,1200,Accounts Receivable,Invoice,22653.19,0,Invoice INV-00045 – CUST-013,INV-00045,CUST-013,mlopez,
GL-000090,2026-01-22,2026-01,4000,Revenue – Product Sales,Invoice,0,22653.19,Revenue recognition INV-00045,INV-00045,CUST-013,arogers,
GL-000091,2026-01-02,2026-01,1200,Accounts Receivable,Invoice,133725.41,0,Invoice INV-00046 – CUST-013,INV-00046,CUST-013,mlopez,
GL-000092,2026-01-02,2026-01,4000,Revenue – Product Sales,Invoice,0,133725.41,Revenue recognition INV-00046,INV-00046,CUST-013,mlopez,
GL-000093,2026-01-11,2026-01,1200,Accounts Receivable,Invoice,114543.74,0,Invoice INV-00047 – CUST-013,INV-00047,CUST-013,mlopez,
GL-000094,2026-01-11,2026-01,4000,Revenue – Product Sales,Invoice,0,114543.74,Revenue recognition INV-00047,INV-00047,CUST-013,tbrown,
GL-000095,2026-01-13,2026-01,1200,Accounts Receivable,Invoice,9212.85,0,Invoice INV-00048 – CUST-013,INV-00048,CUST-013,mlopez,
GL-000096,2026-01-13,2026-01,4000,Revenue – Product Sales,Invoice,0,9212.85,Revenue recognition INV-00048,INV-00048,CUST-013,arogers,
GL-000097,2026-01-20,2026-01,1200,Accounts Receivable,Invoice,1714.42,0,Invoice INV-00049 – CUST-013,INV-00049,CUST-013,jsmith,
GL-000098,2026-01-20,2026-01,4000,Revenue – Product Sales,Invoice,0,1714.42,Revenue recognition INV-00049,INV-00049,CUST-013,arogers,
GL-000099,2026-01-05,2026-01,1200,Accounts Receivable,Invoice,7982.1,0,Invoice INV-00050 – CUST-013,INV-00050,CUST-013,jsmith,
GL-000100,2026-01-05,2026-01,4000,Revenue – Product Sales,Invoice,0,7982.1,Revenue recognition INV-00050,INV-00050,CUST-013,tbrown,
GL-000101,2026-01-23,2026-01,1200,Accounts Receivable,Invoice,150303.95,0,Invoice INV-00051 – CUST-014,INV-00051,CUST-014,tbrown,
GL-000102,2026-01-23,2026-01,4000,Revenue – Product Sales,Invoice,0,150303.95,Revenue recognition INV-00051,INV-00051,CUST-014,tbrown,
GL-000103,2026-01-10,2026-01,1200,Accounts Receivable,Invoice,213677.41,0,Invoice INV-00052 – CUST-015,INV-00052,CUST-015,jsmith,
GL-000104,2026-01-10,2026-01,4000,Revenue – Product Sales,Invoice,0,213677.41,Revenue recognition INV-00052,INV-00052,CUST-015,arogers,
GL-000105,2026-01-20,2026-01,1200,Accounts Receivable,Invoice,39691.57,0,Invoice INV-00053 – CUST-016,INV-00053,CUST-016,kchan,
GL-000106,2026-01-20,2026-01,4000,Revenue – Product Sales,Invoice,0,39691.57,Revenue recognition INV-00053,INV-00053,CUST-016,tbrown,
GL-000107,2026-01-09,2026-01,1200,Accounts Receivable,Invoice,48751.73,0,Invoice INV-00054 – CUST-017,INV-00054,CUST-017,jsmith,
GL-000108,2026-01-09,2026-01,4000,Revenue – Product Sales,Invoice,0,48751.73,Revenue recognition INV-00054,INV-00054,CUST-017,arogers,
GL-000109,2026-01-25,2026-01,1200,Accounts Receivable,Invoice,5855.76,0,Invoice INV-00055 – CUST-018,INV-00055,CUST-018,tbrown,
GL-000110,2026-01-25,2026-01,4000,Revenue – Product Sales,Invoice,0,5855.76,Revenue recognition INV-00055,INV-00055,CUST-018,mlopez,
GL-000111,2026-01-19,2026-01,1200,Accounts Receivable,Invoice,27716.22,0,Invoice INV-00057 – CUST-020,INV-00057,CUST-020,arogers,
GL-000112,2026-01-19,2026-01,4000,Revenue – Product Sales,Invoice,0,27716.22,Revenue recognition INV-00057,INV-00057,CUST-020,jsmith,
GL-000113,2026-01-26,2026-01,1200,Accounts Receivable,Invoice,175460.28,0,Invoice INV-00058 – CUST-021,INV-00058,CUST-021,kchan,
GL-000114,2026-01-26,2026-01,4000,Revenue – Product Sales,Invoice,0,175460.28,Revenue recognition INV-00058,INV-00058,CUST-021,kchan,
GL-000115,2026-01-12,2026-01,1200,Accounts Receivable,Invoice,46936.27,0,Invoice INV-00059 – CUST-021,INV-00059,CUST-021,kchan,
GL-000116,2026-01-12,2026-01,4000,Revenue – Product Sales,Invoice,0,46936.27,Revenue recognition INV-00059,INV-00059,CUST-021,mlopez,
GL-000117,2026-01-08,2026-01,1200,Accounts Receivable,Invoice,18103.06,0,Invoice INV-00060 – CUST-021,INV-00060,CUST-021,arogers,
GL-000118,2026-01-08,2026-01,4000,Revenue – Product Sales,Invoice,0,18103.06,Revenue recognition INV-00060,INV-00060,CUST-021,tbrown,
GL-000119,2026-01-14,2026-01,1200,Accounts Receivable,Invoice,150754.1,0,Invoice INV-00061 – CUST-022,INV-00061,CUST-022,arogers,
GL-000120,2026-01-14,2026-01,4000,Revenue – Product Sales,Invoice,0,150754.1,Revenue recognition INV-00061,INV-00061,CUST-022,kchan,
GL-000121,2026-01-02,2026-01,1200,Accounts Receivable,Invoice,35842.88,0,Invoice INV-00062 – CUST-022,INV-00062,CUST-022,mlopez,
GL-000122,2026-01-02,2026-01,4000,Revenue – Product Sales,Invoice,0,35842.88,Revenue recognition INV-00062,INV-00062,CUST-022,kchan,
GL-000123,2026-01-27,2026-01,1200,Accounts Receivable,Invoice,140706.58,0,Invoice INV-00063 – CUST-022,INV-00063,CUST-022,jsmith,
GL-000124,2026-01-27,2026-01,4000,Revenue – Product Sales,Invoice,0,140706.58,Revenue recognition INV-00063,INV-00063,CUST-022,arogers,
GL-000125,2026-01-09,2026-01,1200,Accounts Receivable,Invoice,18477.91,0,Invoice INV-00064 – CUST-022,INV-00064,CUST-022,mlopez,
GL-000126,2026-01-09,2026-01,4000,Revenue – Product Sales,Invoice,0,18477.91,Revenue recognition INV-00064,INV-00064,CUST-022,kchan,
GL-000127,2026-01-18,2026-01,1200,Accounts Receivable,Invoice,604711.76,0,Invoice INV-00065 – CUST-023,INV-00065,CUST-023,mlopez,
GL-000128,2026-01-18,2026-01,4000,Revenue – Product Sales,Invoice,0,604711.76,Revenue recognition INV-00065,INV-00065,CUST-023,jsmith,
GL-000129,2026-01-31,2026-01,1200,Accounts Receivable,Invoice,34007.11,0,Invoice INV-00066 – CUST-023,INV-00066,CUST-023,jsmith,
GL-000130,2026-01-31,2026-01,4000,Revenue – Product Sales,Invoice,0,34007.11,Revenue recognition INV-00066,INV-00066,CUST-023,arogers,
GL-000131,2026-01-26,2026-01,1200,Accounts Receivable,Invoice,52844.06,0,Invoice INV-00067 – CUST-023,INV-00067,CUST-023,mlopez,
GL-000132,2026-01-26,2026-01,4000,Revenue – Product Sales,Invoice,0,52844.06,Revenue recognition INV-00067,INV-00067,CUST-023,kchan,
GL-000133,2026-01-07,2026-01,1200,Accounts Receivable,Invoice,461199.24,0,Invoice INV-00068 – CUST-024,INV-00068,CUST-024,kchan,
GL-000134,2026-01-07,2026-01,4000,Revenue – Product Sales,Invoice,0,461199.24,Revenue recognition INV-00068,INV-00068,CUST-024,tbrown,
GL-000135,2026-01-03,2026-01,1200,Accounts Receivable,Invoice,173434.69,0,Invoice INV-00069 – CUST-025,INV-00069,CUST-025,kchan,
GL-000136,2026-01-03,2026-01,4000,Revenue – Product Sales,Invoice,0,173434.69,Revenue recognition INV-00069,INV-00069,CUST-025,arogers,
GL-000137,2026-01-10,2026-01,1200,Accounts Receivable,Invoice,47517.3,0,Invoice INV-00070 – CUST-025,INV-00070,CUST-025,jsmith,
GL-000138,2026-01-10,2026-01,4000,Revenue – Product Sales,Invoice,0,47517.3,Revenue recognition INV-00070,INV-00070,CUST-025,kchan,
GL-000139,2026-01-07,2026-01,1200,Accounts Receivable,Invoice,236801.51,0,Invoice INV-00071 – CUST-026,INV-00071,CUST-026,tbrown,
GL-000140,2026-01-07,2026-01,4000,Revenue – Product Sales,Invoice,0,236801.51,Revenue recognition INV-00071,INV-00071,CUST-026,arogers,
GL-000141,2026-01-10,2026-01,1200,Accounts Receivable,Invoice,40468.94,0,Invoice INV-00072 – CUST-026,INV-00072,CUST-026,arogers,
GL-000142,2026-01-10,2026-01,4000,Revenue – Product Sales,Invoice,0,40468.94,Revenue recognition INV-00072,INV-00072,CUST-026,arogers,
GL-000143,2026-01-19,2026-01,1200,Accounts Receivable,Invoice,91679.96,0,Invoice INV-00073 – CUST-027,INV-00073,CUST-027,arogers,
GL-000144,2026-01-19,2026-01,4000,Revenue – Product Sales,Invoice,0,91679.96,Revenue recognition INV-00073,INV-00073,CUST-027,arogers,
GL-000145,2026-01-17,2026-01,1200,Accounts Receivable,Invoice,189260.64,0,Invoice INV-00074 – CUST-027,INV-00074,CUST-027,arogers,
GL-000146,2026-01-17,2026-01,4000,Revenue – Product Sales,Invoice,0,189260.64,Revenue recognition INV-00074,INV-00074,CUST-027,jsmith,
GL-000147,2026-01-21,2026-01,1200,Accounts Receivable,Invoice,25310.03,0,Invoice INV-00075 – CUST-027,INV-00075,CUST-027,jsmith,
GL-000148,2026-01-21,2026-01,4000,Revenue – Product Sales,Invoice,0,25310.03,Revenue recognition INV-00075,INV-00075,CUST-027,tbrown,
GL-000149,2026-01-08,2026-01,1200,Accounts Receivable,Invoice,20295.78,0,Invoice INV-00076 – CUST-027,INV-00076,CUST-027,kchan,
GL-000150,2026-01-08,2026-01,4000,Revenue – Product Sales,Invoice,0,20295.78,Revenue recognition INV-00076,INV-00076,CUST-027,mlopez,
GL-000151,2026-01-20,2026-01,1200,Accounts Receivable,Invoice,10313.86,0,Invoice INV-00077 – CUST-027,INV-00077,CUST-027,jsmith,
GL-000152,2026-01-20,2026-01,4000,Revenue – Product Sales,Invoice,0,10313.86,Revenue recognition INV-00077,INV-00077,CUST-027,mlopez,
GL-000153,2026-01-13,2026-01,1200,Accounts Receivable,Invoice,4318.35,0,Invoice INV-00078 – CUST-027,INV-00078,CUST-027,tbrown,
GL-000154,2026-01-13,2026-01,4000,Revenue – Product Sales,Invoice,0,4318.35,Revenue recognition INV-00078,INV-00078,CUST-027,kchan,
GL-000155,2026-01-28,2026-01,1200,Accounts Receivable,Invoice,3594.13,0,Invoice INV-00079 – CUST-028,INV-00079,CUST-028,jsmith,
GL-000156,2026-01-28,2026-01,4000,Revenue – Product Sales,Invoice,0,3594.13,Revenue recognition INV-00079,INV-00079,CUST-028,jsmith,
GL-000157,2026-01-18,2026-01,1200,Accounts Receivable,Invoice,110555.76,0,Invoice INV-00080 – CUST-029,INV-00080,CUST-029,kchan,
GL-000158,2026-01-18,2026-01,4000,Revenue – Product Sales,Invoice,0,110555.76,Revenue recognition INV-00080,INV-00080,CUST-029,kchan,
GL-000159,2026-01-18,2026-01,1200,Accounts Receivable,Invoice,69279.08,0,Invoice INV-00081 – CUST-030,INV-00081,CUST-030,mlopez,
GL-000160,2026-01-18,2026-01,4000,Revenue – Product Sales,Invoice,0,69279.08,Revenue recognition INV-00081,INV-00081,CUST-030,mlopez,
GL-000161,2026-01-18,2026-01,1200,Accounts Receivable,Invoice,69156.29,0,Invoice INV-00082 – CUST-031,INV-00082,CUST-031,kchan,
GL-000162,2026-01-18,2026-01,4000,Revenue – Product Sales,Invoice,0,69156.29,Revenue recognition INV-00082,INV-00082,CUST-031,jsmith,
GL-000163,2026-01-27,2026-01,1200,Accounts Receivable,Invoice,28852.28,0,Invoice INV-00083 – CUST-032,INV-00083,CUST-032,arogers,
GL-000164,2026-01-27,2026-01,4000,Revenue – Product Sales,Invoice,0,28852.28,Revenue recognition INV-00083,INV-00083,CUST-032,tbrown,
GL-000165,2026-01-10,2026-01,1200,Accounts Receivable,Invoice,47807.28,0,Invoice INV-00084 – CUST-033,INV-00084,CUST-033,tbrown,
GL-000166,2026-01-10,2026-01,4000,Revenue – Product Sales,Invoice,0,47807.28,Revenue recognition INV-00084,INV-00084,CUST-033,mlopez,
GL-000167,2026-01-08,2026-01,1200,Accounts Receivable,Invoice,23364.84,0,Invoice INV-00085 – CUST-034,INV-00085,CUST-034,kchan,
GL-000168,2026-01-08,2026-01,4000,Revenue – Product Sales,Invoice,0,23364.84,Revenue recognition INV-00085,INV-00085,CUST-034,jsmith,
GL-000169,2026-01-15,2026-01,1200,Accounts Receivable,Invoice,82548.51,0,Invoice INV-00086 – CUST-035,INV-00086,CUST-035,jsmith,
GL-000170,2026-01-15,2026-01,4000,Revenue – Product Sales,Invoice,0,82548.51,Revenue recognition INV-00086,INV-00086,CUST-035,mlopez,
GL-000171,2026-01-01,2026-01,1200,Accounts Receivable,Invoice,259125.54,0,Invoice INV-00087 – CUST-036,INV-00087,CUST-036,mlopez,
GL-000172,2026-01-01,2026-01,4000,Revenue – Product Sales,Invoice,0,259125.54,Revenue recognition INV-00087,INV-00087,CUST-036,arogers,
GL-000173,2026-01-28,2026-01,1200,Accounts Receivable,Invoice,158194.4,0,Invoice INV-00088 – CUST-037,INV-00088,CUST-037,tbrown,
GL-000174,2026-01-28,2026-01,4000,Revenue – Product Sales,Invoice,0,158194.4,Revenue recognition INV-00088,INV-00088,CUST-037,tbrown,
GL-000175,2026-01-29,2026-01,1200,Accounts Receivable,Invoice,63358.1,0,Invoice INV-00089 – CUST-037,INV-00089,CUST-037,tbrown,
GL-000176,2026-01-29,2026-01,4000,Revenue – Product Sales,Invoice,0,63358.1,Revenue recognition INV-00089,INV-00089,CUST-037,mlopez,
GL-000177,2026-01-13,2026-01,1200,Accounts Receivable,Invoice,26556.67,0,Invoice INV-00090 – CUST-037,INV-00090,CUST-037,arogers,
GL-000178,2026-01-13,2026-01,4000,Revenue – Product Sales,Invoice,0,26556.67,Revenue recognition INV-00090,INV-00090,CUST-037,kchan,
GL-000179,2026-01-20,2026-01,1200,Accounts Receivable,Invoice,853.49,0,Invoice INV-00091 – CUST-037,INV-00091,CUST-037,mlopez,
GL-000180,2026-01-20,2026-01,4000,Revenue – Product Sales,Invoice,0,853.49,Revenue recognition INV-00091,INV-00091,CUST-037,arogers,
GL-000181,2026-01-14,2026-01,1200,Accounts Receivable,Invoice,20261.71,0,Invoice INV-00092 – CUST-038,INV-00092,CUST-038,mlopez,
GL-000182,2026-01-14,2026-01,4000,Revenue – Product Sales,Invoice,0,20261.71,Revenue recognition INV-00092,INV-00092,CUST-038,kchan,
GL-000183,2026-01-11,2026-01,1200,Accounts Receivable,Invoice,68609.89,0,Invoice INV-00093 – CUST-039,INV-00093,CUST-039,kchan,
