line_id,bank_date,value_date,description,debit,credit,deposit_id,transaction_type,matched_receipt_ids,reconciled,notes
BNK-00025,2026-02-09,2026-02-09,Deposit DEP-0025 – 2 item(s),0.0,22294.79,DEP-0025,Deposit,RCP-00032|RCP-00053,Yes,
BNK-00032,2026-02-10,2026-02-10,Deposit DEP-0032 – 2 item(s),0.0,32606.97,DEP-0032,Deposit,RCP-00044|RCP-00105,Yes,
BNK-00031,2026-02-12,2026-02-12,Deposit DEP-0031 – 2 item(s),0.0,181242.71,DEP-0031,Deposit,RCP-00040|RCP-00062,Yes,
BNK-00001,2026-02-13,2026-02-13,Deposit DEP-0001 – 1 item(s),0.0,307110.74,DEP-0001,Deposit,RCP-00001,Yes,
BNK-00076,2026-02-13,2026-02-13,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00081,2026-02-13,2026-02-13,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00012,2026-02-14,2026-02-14,Deposit DEP-0012 – 3 item(s),0.0,422073.4,DEP-0012,Deposit,RCP-00012|RCP-00031|RCP-00080,Yes,
BNK-00036,2026-02-15,2026-02-15,Deposit DEP-0036 – 4 item(s),0.0,796212.54,DEP-0036,Deposit,RCP-00060|RCP-00078|RCP-00086|RCP-00100,Yes,
BNK-00023,2026-02-16,2026-02-16,Deposit DEP-0023 – 2 item(s),0.0,492179.96,DEP-0023,Deposit,RCP-00028|RCP-00037,Yes,
BNK-00073,2026-02-16,2026-02-16,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00074,2026-02-16,2026-02-16,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00079,2026-02-16,2026-02-16,Wire Transfer Fee,15,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00024,2026-02-17,2026-02-17,Deposit DEP-0024 – 1 item(s),0.0,255414.45,DEP-0024,Deposit,RCP-00029,Yes,
BNK-00080,2026-02-17,2026-02-17,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00034,2026-02-18,2026-02-18,Deposit DEP-0034 – 1 item(s),0.0,46936.27,DEP-0034,Deposit,RCP-00052,Yes,
BNK-00041,2026-02-20,2026-02-20,Deposit DEP-0041 – 2 item(s),0.0,70194.38,DEP-0041,Deposit,RCP-00081|RCP-00084,Yes,
BNK-00072,2026-02-20,2026-02-20,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00042,2026-02-21,2026-02-21,Deposit DEP-0042 – 1 item(s),0.0,41082.49,DEP-0042,Deposit,RCP-00087,Yes,
BNK-00009,2026-02-22,2026-02-22,Deposit DEP-0009 – 2 item(s),0.0,368865.89,DEP-0009,Deposit,RCP-00009|RCP-00102,Yes,
BNK-00011,2026-02-23,2026-02-23,Deposit DEP-0011 – 2 item(s),0.0,506586.55,DEP-0011,Deposit,RCP-00011|RCP-00104,Yes,
BNK-00075,2026-02-25,2026-02-25,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00077,2026-02-25,2026-02-25,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00007,2026-02-26,2026-02-26,Deposit DEP-0007 – 4 item(s),0.0,109861.36,DEP-0007,Deposit,RCP-00007|RCP-00050|RCP-00055|RCP-00064,Yes,
BNK-00022,2026-02-27,2026-02-27,Deposit DEP-0022 – 5 item(s),0.0,760432.01,DEP-0022,Deposit,RCP-00026|RCP-00041|RCP-00073|RCP-00094|RCP-00101,Yes,
BNK-00018,2026-02-28,2026-02-28,Deposit DEP-0018 – 5 item(s),0.0,201074.66,DEP-0018,Deposit,RCP-00019|RCP-00030|RCP-00039|RCP-00083|RCP-00103,Yes,
BNK-00071,2026-02-28,2026-02-28,Monthly Service Charge,450.0,0.0,,Bank Fee,,No,Bank service fee – needs GL entry
BNK-00029,2026-03-01,2026-03-01,Deposit DEP-0029 – 4 item(s),0.0,113038.16,DEP-0029,Deposit,RCP-00036|RCP-00042|RCP-00059|RCP-00068,Yes,
BNK-00085,2026-03-01,2026-03-01,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00028,2026-03-02,2026-03-02,Deposit DEP-0028 – 2 item(s),0.0,197366.46,DEP-0028,Deposit,RCP-00035|RCP-00092,Yes,
BNK-00019,2026-03-03,2026-03-03,Deposit DEP-0019 – 7 item(s),0.0,599414.38,DEP-0019,Deposit,RCP-00021|RCP-00051|RCP-00063|RCP-00071|RCP-00082|RCP-00096|RCP-00099,Yes,
BNK-00030,2026-03-04,2026-03-04,Deposit DEP-0030 – 3 item(s),0.0,834175.98,DEP-0030,Deposit,RCP-00038|RCP-00043|RCP-00058,Yes,
BNK-00083,2026-03-04,2026-03-04,Wire Transfer Fee,50,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00004,2026-03-05,2026-03-05,Deposit DEP-0004 – 5 item(s),0.0,1223216.01,DEP-0004,Deposit,RCP-00004|RCP-00014|RCP-00049|RCP-00106|RCP-00144,Yes,
BNK-00038,2026-03-06,2026-03-06,Deposit DEP-0038 – 2 item(s),0.0,51946.72,DEP-0038,Deposit,RCP-00069|RCP-00170,Yes,
BNK-00089,2026-03-06,2026-03-06,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00035,2026-03-07,2026-03-07,Deposit DEP-0035 – 3 item(s),0.0,756260.07,DEP-0035,Deposit,RCP-00057|RCP-00135|RCP-00146,Yes,
BNK-00094,2026-03-07,2026-03-07,Wire Transfer Fee,50,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00008,2026-03-08,2026-03-08,Deposit DEP-0008 – 6 item(s),0.0,931743.47,DEP-0008,Deposit,RCP-00008|RCP-00020|RCP-00024|RCP-00046|RCP-00066|RCP-00077,Yes,
BNK-00090,2026-03-08,2026-03-08,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00020,2026-03-09,2026-03-09,Deposit DEP-0020 – 8 item(s),0.0,1335815.88,DEP-0020,Deposit,RCP-00022|RCP-00048|RCP-00065|RCP-00067|RCP-00070|RCP-00072|RCP-00085|RCP-00109,Yes,
BNK-00017,2026-03-10,2026-03-10,Deposit DEP-0017 – 3 item(s),0.0,493094.65,DEP-0017,Deposit,RCP-00018|RCP-00047|RCP-00154,Yes,
BNK-00003,2026-03-11,2026-03-11,Deposit DEP-0003 – 2 item(s),0.0,106136.52,DEP-0003,Deposit,RCP-00003|RCP-00143,Yes,
BNK-00084,2026-03-11,2026-03-11,Wire Transfer Fee,15,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00087,2026-03-11,2026-03-11,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00026,2026-03-12,2026-03-12,Deposit DEP-0026 – 1 item(s),0.0,1030154.8,DEP-0026,Deposit,RCP-00033,Yes,
BNK-00092,2026-03-12,2026-03-12,Wire Transfer Fee,25,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00059,2026-03-13,2026-03-13,Deposit DEP-0059 – 1 item(s),0.0,112332.26,DEP-0059,Deposit,RCP-00162,Yes,
BNK-00086,2026-03-13,2026-03-13,Wire Transfer Fee,15,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00056,2026-03-14,2026-03-14,Deposit DEP-0056 – 1 item(s),0.0,63718.04,DEP-0056,Deposit,RCP-00145,Yes,
BNK-00047,2026-03-15,2026-03-15,Deposit DEP-0047 – 3 item(s),0.0,394483.6,DEP-0047,Deposit,RCP-00098|RCP-00115|RCP-00128,Yes,
BNK-00039,2026-03-16,2026-03-16,Deposit DEP-0039 – 2 item(s),0.0,282461.8,DEP-0039,Deposit,RCP-00074|RCP-00121,Yes,
BNK-00091,2026-03-16,2026-03-16,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00093,2026-03-16,2026-03-16,Wire Transfer Fee,50,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00040,2026-03-17,2026-03-17,Deposit DEP-0040 – 4 item(s),0.0,259591.34,DEP-0040,Deposit,RCP-00079|RCP-00130|RCP-00136|RCP-00179,Yes,
BNK-00016,2026-03-18,2026-03-18,Deposit DEP-0016 – 2 item(s),0.0,26916.82,DEP-0016,Deposit,RCP-00017|RCP-00076,Yes,
BNK-00027,2026-03-19,2026-03-19,Deposit DEP-0027 – 2 item(s),0.0,104844.65,DEP-0027,Deposit,RCP-00034|RCP-00166,Yes,
BNK-00033,2026-03-20,2026-03-20,Deposit DEP-0033 – 3 item(s),0.0,786621.85,DEP-0033,Deposit,RCP-00045|RCP-00113|RCP-00123,Yes,
BNK-00088,2026-03-20,2026-03-20,Wire Transfer Fee,35,0.0,,Wire Fee,,No,Wire fee – needs GL entry
BNK-00052,2026-03-21,2026-03-21,Deposit DEP-0052 – 2 item(s),0.0,69106.14,DEP-0052,Deposit,RCP-00112|RCP-00134,Yes,
BNK-00010,2026-03-22,2026-03-22,Deposit DEP-0010 – 4 item(s),0.0,1196707.36,DEP-0010,Deposit,RCP-00010|RCP-00091|RCP-00133|RCP-00148,Yes,
BNK-00057,2026-03-23,2026-03-23,Deposit DEP-0057 – 2 item(s),0.0,420708.1,DEP-0057,Deposit,RCP-00152|RCP-00157,Yes,
BNK-00058,2026-03-24,2026-03-24,Deposit DEP-0058 – 1 item(s),0.0,95271.02,DEP-0058,Deposit,RCP-00160,Yes,
BNK-00049,2026-03-25,2026-03-25,Deposit DEP-0049 – 3 item(s),0.0,510196.36,DEP-0049,Deposit,RCP-00108|RCP-00125|RCP-00161,Yes,
BNK-00006,2026-03-26,2026-03-26,Deposit DEP-0006 – 2 item(s),0.0,151537.17,DEP-0006,Deposit,RCP-00006|RCP-00124,Yes,
BNK-00015,2026-03-27,2026-03-27,Deposit DEP-0015 – 7 item(s),0.0,981280.37,DEP-0015,Deposit,RCP-00016|RCP-00056|RCP-00088|RCP-00122|RCP-00139|RCP-00167|RCP-00169,Yes,
BNK-00048,2026-03-28,2026-03-28,Deposit DEP-0048 – 3 item(s),0.0,347235.8,DEP-0048,Deposit,RCP-00107|RCP-00147|RCP-00155,Yes,
BNK-00055,2026-03-29,2026-03-29,Deposit DEP-0055 – 4 item(s),0.0,220713.06,DEP-0055,Deposit,RCP-00126|RCP-00172|RCP-00173|RCP-00174,Yes,
BNK-00021,2026-03-30,2026-03-30,Deposit DEP-0021 – 6 item(s),0.0,1994264.06,DEP-0021,Deposit,RCP-00023|RCP-00075|RCP-00116|RCP-00120|RCP-00142|RCP-00151,Yes,
BNK-00082,2026-03-31,2026-03-31,Monthly Service Charge,450.0,0.0,,Bank Fee,,No,Bank service fee – needs GL entry
BNK-00005,2026-04-01,2026-03-31,Deposit DEP-0005 – 4 item(s),0.0,1879228.3,DEP-0005,Deposit,RCP-00005|RCP-00054|RCP-00095|RCP-00129,No,"SCENARIO: Timing diff – receipt 3/31, bank clears 4/1"
BNK-00014,2026-04-01,2026-04-01,Deposit DEP-0014 – 5 item(s),0.0,554844.67,DEP-0014,Deposit,RCP-00015|RCP-00127|RCP-00132|RCP-00138|RCP-00181,Yes,
BNK-00043,2026-04-02,2026-04-02,Deposit DEP-0043 – 2 item(s),0.0,183876.46,DEP-0043,Deposit,RCP-00089|RCP-00159,Yes,
BNK-00053,2026-04-03,2026-04-03,Deposit DEP-0053 – 2 item(s),0.0,224957.1,DEP-0053,Deposit,RCP-00117|RCP-00158,Yes,
BNK-00054,2026-04-05,2026-04-05,Deposit DEP-0054 – 1 item(s),0.0,516620.31,DEP-0054,Deposit,RCP-00119,Yes,
BNK-00044,2026-04-06,2026-04-06,Deposit DEP-0044 – 4 item(s),0.0,105695.15,DEP-0044,Deposit,RCP-00090|RCP-00156|RCP-00168|RCP-00178,Yes,
BNK-00051,2026-04-07,2026-04-07,Deposit DEP-0051 – 3 item(s),0.0,278271.13,DEP-0051,Deposit,RCP-00111|RCP-00137|RCP-00153,Yes,
BNK-00060,2026-04-08,2026-04-08,Deposit DEP-0060 – 2 item(s),0.0,50565.51,DEP-0060,Deposit,RCP-00180|RCP-00184,Yes,
BNK-00050,2026-04-09,2026-04-09,Deposit DEP-0050 – 41 item(s),0.0,4755513.24,DEP-0050,Deposit,RCP-00110|RCP-00114|RCP-00118|RCP-00131|RCP-00140|RCP-00141|RCP-00149|RCP-00150|RCP-00163|RCP-00164|RCP-00165|RCP-00171|RCP-00175|RCP-00176|RCP-00177|RCP-00182|RCP-00183|RCP-00185|RCP-00186|RCP-00187|RCP-00188|RCP-00189|RCP-00190|RCP-00191|RCP-00192|RCP-00193|RCP-00194|RCP-00195|RCP-00196|RCP-00197|RCP-00198|RCP-00199|RCP-00200|RCP-00201|RCP-00202|RCP-00203|RCP-00204|RCP-00205|RCP-00206|RCP-00207|RCP-00208,Yes,
