company_id,action_taken,roi_3yr_pct,best_action,certified_by,certified_date
C147,NEW_PRODUCT,11.6,PAY_DEBT,"R. Okafor, CFA",2025-12-15
C148,NEW_PRODUCT,1.7,PAY_DEBT,"M. Alvarez, CFA",2018-12-15
C149,MA,2.4,PAY_DEBT,"D. Chen, CPA",2025-12-15
C150,MA,9.8,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C151,MA,8.1,NEW_PRODUCT,"M. Alvarez, CFA",2024-12-15
C152,PAY_DEBT,10.8,PAY_DEBT,"D. Chen, CPA",2022-12-15
C153,PAY_DEBT,11.2,PAY_DEBT,"R. Okafor, CFA",2021-12-15
C154,PAY_DEBT,19.6,PAY_DEBT,"M. Alvarez, CFA",2025-12-15
C155,MA,18.2,MA,"D. Chen, CPA",2020-12-15
C156,NEW_PRODUCT,12.9,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C157,NEW_PRODUCT,20.0,NEW_PRODUCT,"M. Alvarez, CFA",2018-12-15
C158,PAY_DEBT,15.6,PAY_DEBT,"D. Chen, CPA",2024-12-15
C159,NEW_PRODUCT,25.3,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C160,PAY_DEBT,23.6,PAY_DEBT,"M. Alvarez, CFA",2020-12-15
C161,PAY_DEBT,20.2,PAY_DEBT,"D. Chen, CPA",2023-12-15
C162,NEW_PRODUCT,16.4,MA,"R. Okafor, CFA",2020-12-15
C163,NEW_PRODUCT,14.4,NEW_PRODUCT,"M. Alvarez, CFA",2024-12-15
C164,PAY_DEBT,22.7,PAY_DEBT,"D. Chen, CPA",2018-12-15
C165,PAY_DEBT,13.7,PAY_DEBT,"R. Okafor, CFA",2019-12-15
C166,MA,15.4,MA,"M. Alvarez, CFA",2018-12-15
C167,MA,17.3,MA,"D. Chen, CPA",2018-12-15
C168,NEW_PRODUCT,20.9,NEW_PRODUCT,"R. Okafor, CFA",2020-12-15
C169,MA,21.4,MA,"M. Alvarez, CFA",2021-12-15
C170,NEW_PRODUCT,15.8,NEW_PRODUCT,"D. Chen, CPA",2023-12-15
C171,NEW_PRODUCT,15.4,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C172,PAY_DEBT,6.9,MA,"M. Alvarez, CFA",2020-12-15
C173,NEW_PRODUCT,28.2,NEW_PRODUCT,"D. Chen, CPA",2018-12-15
C174,MA,17.8,MA,"R. Okafor, CFA",2021-12-15
C175,PAY_DEBT,26.9,PAY_DEBT,"M. Alvarez, CFA",2023-12-15
C176,NEW_PRODUCT,13.5,PAY_DEBT,"D. Chen, CPA",2021-12-15
C177,MA,17.2,MA,"R. Okafor, CFA",2021-12-15
C178,MA,13.3,MA,"M. Alvarez, CFA",2020-12-15
C179,NEW_PRODUCT,5.7,NEW_PRODUCT,"D. Chen, CPA",2020-12-15
C180,MA,17.5,MA,"R. Okafor, CFA",2023-12-15
C181,PAY_DEBT,-0.9,MA,"M. Alvarez, CFA",2023-12-15
C182,MA,12.6,NEW_PRODUCT,"D. Chen, CPA",2022-12-15
C183,MA,21.7,MA,"R. Okafor, CFA",2025-12-15
C184,MA,21.6,MA,"M. Alvarez, CFA",2018-12-15
C185,PAY_DEBT,22.7,PAY_DEBT,"D. Chen, CPA",2025-12-15
C186,PAY_DEBT,12.5,PAY_DEBT,"R. Okafor, CFA",2025-12-15
C187,PAY_DEBT,1.8,MA,"M. Alvarez, CFA",2019-12-15
C188,PAY_DEBT,19.4,PAY_DEBT,"D. Chen, CPA",2019-12-15
C189,PAY_DEBT,16.6,PAY_DEBT,"R. Okafor, CFA",2024-12-15
C190,MA,11.0,MA,"M. Alvarez, CFA",2024-12-15
C191,PAY_DEBT,19.7,PAY_DEBT,"D. Chen, CPA",2025-12-15
C192,PAY_DEBT,25.3,PAY_DEBT,"R. Okafor, CFA",2018-12-15
C193,NEW_PRODUCT,23.0,NEW_PRODUCT,"M. Alvarez, CFA",2021-12-15
C194,NEW_PRODUCT,24.8,NEW_PRODUCT,"D. Chen, CPA",2018-12-15
C195,NEW_PRODUCT,6.3,MA,"R. Okafor, CFA",2023-12-15
C196,PAY_DEBT,6.2,NEW_PRODUCT,"M. Alvarez, CFA",2021-12-15
C197,PAY_DEBT,16.0,PAY_DEBT,"D. Chen, CPA",2022-12-15
C198,PAY_DEBT,11.6,PAY_DEBT,"R. Okafor, CFA",2022-12-15
C199,MA,4.1,PAY_DEBT,"M. Alvarez, CFA",2020-12-15
C200,MA,20.5,MA,"D. Chen, CPA",2022-12-15
C201,MA,20.4,MA,"R. Okafor, CFA",2024-12-15
C202,PAY_DEBT,19.9,PAY_DEBT,"M. Alvarez, CFA",2022-12-15
C203,NEW_PRODUCT,25.4,NEW_PRODUCT,"D. Chen, CPA",2023-12-15
C204,NEW_PRODUCT,26.1,NEW_PRODUCT,"R. Okafor, CFA",2021-12-15
C205,MA,15.5,MA,"M. Alvarez, CFA",2025-12-15
C206,NEW_PRODUCT,6.7,MA,"D. Chen, CPA",2020-12-15
C207,NEW_PRODUCT,4.3,PAY_DEBT,"R. Okafor, CFA",2019-12-15
C208,PAY_DEBT,13.9,PAY_DEBT,"M. Alvarez, CFA",2019-12-15
C209,MA,17.4,MA,"D. Chen, CPA",2018-12-15
C210,MA,15.3,PAY_DEBT,"R. Okafor, CFA",2018-12-15
C211,MA,17.0,MA,"M. Alvarez, CFA",2019-12-15
C212,MA,16.8,MA,"D. Chen, CPA",2025-12-15
C213,NEW_PRODUCT,15.9,NEW_PRODUCT,"R. Okafor, CFA",2019-12-15
C214,PAY_DEBT,9.9,PAY_DEBT,"M. Alvarez, CFA",2025-12-15
C215,MA,22.0,MA,"D. Chen, CPA",2023-12-15
C216,NEW_PRODUCT,19.2,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C217,PAY_DEBT,7.7,NEW_PRODUCT,"M. Alvarez, CFA",2025-12-15
C218,NEW_PRODUCT,13.8,NEW_PRODUCT,"D. Chen, CPA",2024-12-15
C219,PAY_DEBT,14.2,PAY_DEBT,"R. Okafor, CFA",2025-12-15
C220,MA,6.6,MA,"M. Alvarez, CFA",2023-12-15
C221,MA,21.1,MA,"D. Chen, CPA",2021-12-15
C222,PAY_DEBT,14.7,NEW_PRODUCT,"R. Okafor, CFA",2024-12-15
C223,MA,9.8,PAY_DEBT,"M. Alvarez, CFA",2018-12-15
C224,MA,13.9,MA,"D. Chen, CPA",2018-12-15
C225,NEW_PRODUCT,17.1,NEW_PRODUCT,"R. Okafor, CFA",2021-12-15
C226,NEW_PRODUCT,0.1,PAY_DEBT,"M. Alvarez, CFA",2018-12-15
C227,NEW_PRODUCT,5.8,MA,"D. Chen, CPA",2020-12-15
C228,PAY_DEBT,16.8,NEW_PRODUCT,"R. Okafor, CFA",2023-12-15
C229,NEW_PRODUCT,14.1,NEW_PRODUCT,"M. Alvarez, CFA",2025-12-15
C230,MA,22.9,MA,"D. Chen, CPA",2024-12-15
C231,PAY_DEBT,23.4,PAY_DEBT,"R. Okafor, CFA",2023-12-15
C232,PAY_DEBT,2.9,NEW_PRODUCT,"M. Alvarez, CFA",2022-12-15
C233,MA,9.0,NEW_PRODUCT,"D. Chen, CPA",2020-12-15
C234,NEW_PRODUCT,16.1,NEW_PRODUCT,"R. Okafor, CFA",2020-12-15
C235,MA,10.3,MA,"M. Alvarez, CFA",2023-12-15
C236,NEW_PRODUCT,5.1,MA,"D. Chen, CPA",2023-12-15
C237,PAY_DEBT,16.2,PAY_DEBT,"R. Okafor, CFA",2019-12-15
C238,NEW_PRODUCT,15.3,NEW_PRODUCT,"M. Alvarez, CFA",2021-12-15
C239,PAY_DEBT,19.8,PAY_DEBT,"D. Chen, CPA",2020-12-15
C240,MA,14.7,MA,"R. Okafor, CFA",2022-12-15
