company_id,fy,revenue_m,revenue_growth_pct,operating_margin_pct,ebitda_m,debt_m,cash_m,interest_rate_pct
C122,2017,78.3,5.2,15.8,15.9,34.4,12.5,5.87
C123,2018,236.3,1.7,11.8,38.6,244.4,63.8,6.69
C124,2020,89.4,5.3,9.5,12.5,52.6,13.3,4.46
C125,2015,141.7,-1.8,9.2,19.4,36.3,11.3,5.12
C126,2022,187.1,5.2,10.0,27.1,45.5,47.0,8.58
C127,2021,40.4,11.1,23.9,11.5,17.8,7.3,4.97
C128,2015,122.6,11.8,7.3,14.4,29.2,31.7,5.01
C129,2021,43.9,11.8,10.1,6.4,5.9,12.2,4.92
C130,2017,390.7,12.2,2.0,25.4,419.0,98.7,12.0
C131,2019,131.5,6.2,21.9,34.7,139.3,22.7,6.69
C132,2020,208.4,0.4,11.6,33.6,106.0,49.6,4.44
C133,2022,94.1,1.5,11.9,15.4,65.8,21.4,8.65
C134,2020,96.5,3.2,15.2,19.0,50.3,15.8,4.52
C135,2015,104.9,-3.6,18.8,24.5,113.0,17.7,5.09
C136,2019,119.0,3.8,10.0,17.2,84.1,20.8,5.82
C137,2022,72.0,0.6,25.8,21.8,25.6,14.4,7.33
C138,2018,23.2,9.5,25.9,7.1,24.2,1.7,6.64
C139,2019,237.2,4.0,12.5,40.3,258.7,34.3,7.26
C140,2016,162.9,0.8,5.1,15.6,176.4,32.0,9.47
C141,2018,269.1,1.9,6.4,29.3,20.4,12.7,5.44
C142,2018,99.3,-0.1,9.0,13.4,12.0,3.1,6.18
C143,2017,85.3,4.8,2.3,5.8,60.7,5.8,9.91
C144,2018,592.4,9.1,20.1,146.0,572.0,40.6,5.77
C145,2021,142.6,-1.3,14.9,27.7,129.0,29.0,5.04
C146,2020,124.3,5.9,15.2,24.5,30.4,23.0,5.23
C147,2022,118.8,6.3,8.2,15.1,87.4,15.0,9.0
C148,2015,128.3,6.0,5.1,12.3,109.6,20.9,7.55
C149,2022,598.3,15.9,2.0,38.9,312.4,66.2,11.16
C150,2021,70.4,4.2,6.5,7.7,29.4,6.6,5.14
C151,2021,42.9,1.7,16.0,8.8,32.6,6.3,5.17
C152,2019,109.3,-3.2,2.0,7.1,102.7,4.8,12.0
C153,2018,90.3,3.6,7.5,10.8,85.3,20.3,9.57
C154,2022,341.1,1.7,23.0,93.6,333.0,33.6,8.62
C155,2017,368.2,3.4,4.0,31.4,55.2,27.8,3.99
C156,2021,117.4,14.7,25.7,35.4,18.6,13.6,4.05
C157,2015,65.3,14.3,19.9,15.9,66.3,11.8,5.5
C158,2021,51.8,10.1,13.1,9.1,41.8,4.9,6.61
C159,2021,358.1,10.8,16.5,75.1,241.3,56.4,5.87
C160,2017,124.1,3.4,7.8,15.3,97.7,5.1,7.17
C161,2020,322.0,1.6,11.2,50.6,252.3,67.6,6.81
C162,2017,162.3,2.0,18.8,37.8,141.5,33.7,4.66
C163,2021,134.3,5.8,8.5,17.4,77.1,22.5,5.08
C164,2015,115.0,10.2,17.8,25.6,109.3,18.8,6.74
C165,2016,30.0,5.4,16.4,6.3,17.7,1.0,4.5
C166,2015,38.0,-1.5,9.8,5.4,16.6,10.4,6.23
C167,2015,38.5,-5.3,18.8,9.0,2.0,7.3,5.82
C168,2017,328.1,4.1,16.5,69.0,352.2,13.8,5.3
C169,2018,56.6,9.9,9.5,7.9,16.7,15.0,4.74
C170,2020,109.1,3.9,19.3,26.0,98.0,10.8,5.72
C171,2021,162.0,4.6,14.3,30.4,76.9,22.3,5.17
C172,2017,80.2,0.4,7.9,10.0,25.8,18.6,3.85
C173,2015,47.7,4.2,20.2,11.8,3.9,9.4,4.13
C174,2018,120.1,2.1,8.9,16.1,54.3,15.5,6.23
C175,2020,203.4,-0.8,6.0,21.3,67.9,5.4,5.11
C176,2018,81.5,2.1,4.3,7.2,67.2,17.8,10.56
C177,2018,410.0,5.5,13.0,71.9,322.1,109.2,6.7
C178,2017,64.0,8.2,14.2,12.0,3.2,16.6,4.3
C179,2017,293.8,6.4,22.7,79.9,45.9,28.9,4.14
C180,2020,138.3,8.6,9.3,19.1,25.4,29.0,5.87
C181,2020,421.3,1.9,16.2,87.4,126.3,116.0,3.92
C182,2019,416.9,9.0,23.1,115.2,204.5,26.4,5.24
C183,2022,84.6,1.4,13.9,15.6,19.4,10.0,7.93
C184,2015,211.7,3.1,12.7,36.5,52.8,42.6,5.51
C185,2022,90.7,9.1,9.0,12.2,61.7,6.5,7.4
C186,2022,55.3,4.6,6.3,6.0,24.9,3.8,6.91
C187,2016,80.7,0.8,12.6,13.8,51.0,19.3,5.97
C188,2016,127.4,4.3,15.8,25.9,133.3,17.4,7.17
C189,2021,42.8,8.7,2.6,3.0,38.4,1.8,10.5
C190,2021,46.0,-2.2,2.0,3.0,7.1,2.2,5.25
C191,2022,116.9,4.5,2.0,7.6,89.4,14.5,12.0
C192,2015,28.7,-0.4,17.8,6.4,30.7,2.3,5.54
C193,2018,280.8,8.9,12.0,46.3,124.3,9.7,6.38
C194,2015,213.5,3.1,12.2,35.7,22.0,24.3,4.2
C195,2020,23.6,3.7,5.8,2.4,9.7,5.6,4.76
C196,2018,76.0,6.9,20.6,19.1,65.0,1.7,6.92
C197,2019,265.2,7.1,6.8,30.1,158.2,48.3,7.02
C198,2019,218.7,-7.1,8.4,28.3,79.5,12.9,6.11
C199,2017,73.9,3.3,5.0,7.0,58.7,12.5,7.5
C200,2019,79.5,3.3,13.7,14.5,71.4,17.4,5.82
C201,2021,83.8,5.2,10.6,12.6,8.9,15.5,4.75
C202,2019,205.3,0.9,15.6,41.2,223.1,51.8,8.11
C203,2020,38.9,8.8,16.2,8.0,21.9,8.5,3.72
C204,2018,38.5,6.2,15.4,7.6,30.0,4.2,5.27
C205,2022,144.7,-5.6,25.5,43.4,59.3,36.8,7.0
C206,2017,122.3,-4.3,3.9,10.2,54.3,22.8,7.12
C207,2016,135.4,6.9,10.4,20.2,96.4,13.3,6.22
C208,2016,120.7,-6.1,12.6,20.7,129.3,13.6,6.47
C209,2015,144.9,2.8,20.3,35.9,18.7,30.2,5.96
C210,2015,72.3,5.9,9.8,10.3,68.2,18.2,5.89
C211,2016,77.8,-4.0,11.3,12.3,56.9,17.7,4.76
C212,2022,157.9,6.0,7.6,19.1,12.7,31.2,8.2
C213,2016,260.5,2.7,18.7,60.5,167.6,71.5,5.17
C214,2022,171.4,-2.4,15.4,34.1,186.4,5.9,9.19
C215,2020,47.8,2.3,7.0,5.5,25.4,10.9,5.6
C216,2021,35.1,8.5,14.9,6.8,20.5,2.6,4.99
C217,2022,90.0,6.8,17.0,19.4,4.7,10.1,7.68
C218,2021,143.1,6.0,16.5,30.1,75.9,31.9,5.09
C219,2022,121.1,4.9,21.2,31.1,112.8,17.6,7.75
C220,2020,341.2,3.7,13.5,61.3,267.9,73.2,5.07
C221,2018,82.8,-4.0,5.4,8.2,60.6,22.3,8.3
C222,2021,335.2,0.4,14.8,64.6,21.3,16.0,4.25
C223,2015,56.0,8.4,8.5,7.3,39.0,11.0,6.51
C224,2015,279.0,2.6,5.2,27.2,87.6,50.6,5.79
C225,2018,267.7,7.3,14.3,50.4,65.9,17.5,5.68
C226,2015,435.7,-1.2,14.0,80.8,407.5,42.8,6.9
C227,2017,127.6,5.8,11.6,20.6,50.8,14.5,4.35
C228,2020,174.2,3.8,25.3,52.0,67.4,45.0,5.86
C229,2022,167.7,12.1,17.2,36.4,103.1,3.7,6.26
C230,2021,56.3,4.8,9.9,8.1,6.0,12.8,4.7
C231,2020,190.1,-3.7,5.6,19.2,160.4,32.7,8.45
C232,2019,54.6,8.1,20.9,13.8,15.3,11.7,6.19
C233,2017,281.9,14.1,15.2,55.5,281.5,30.8,6.07
C234,2017,109.6,9.2,17.5,24.1,16.8,22.9,5.02
C235,2020,66.3,0.7,11.0,10.3,42.8,15.3,6.59
C236,2020,113.3,6.1,10.8,17.4,26.6,20.1,5.6
C237,2016,379.8,-3.1,8.5,49.5,325.7,28.6,5.74
C238,2018,50.3,6.2,14.0,9.3,3.1,4.1,6.81
C239,2017,78.4,9.0,11.7,12.7,46.6,17.7,5.16
C240,2019,65.1,6.3,14.4,12.3,28.2,12.4,6.29
N001,2025,180.0,2.1,11.5,28.8,121.0,14.5,7.1
N002,2025,95.0,14.8,21.0,24.2,12.0,22.0,5.9
N003,2025,310.0,1.2,10.0,45.0,265.0,18.0,8.4
N004,2025,140.0,4.0,12.5,23.8,35.0,33.0,5.6
N005,2025,75.0,2.5,13.0,13.1,15.0,19.0,5.7
N006,2025,220.0,0.8,5.5,22.0,190.0,9.0,8.9
N007,2025,60.0,9.5,15.0,11.7,10.0,8.0,5.8
N008,2025,130.0,11.0,17.5,28.6,95.0,11.0,7.6
N009,2025,88.0,1.5,9.0,11.9,20.0,21.0,5.5
N010,2025,150.0,3.0,14.0,27.8,40.0,36.0,5.6
N011,2025,55.0,2.0,12.0,9.1,30.0,4.0,7.2
N012,2025,240.0,5.5,13.5,43.2,70.0,30.0,6.1
